0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
132,,,PP,3%,0.2212446645,0.006637339935,0.01659334984,,,0.85,0.887,0.02200855473,,0.1190504942,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,,,,,,,,,,
135,,,,,,,,,,0.02021210674,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,,,,,,,,,,
139,Waste generation rates from mechanical recycling,,,,,,,,,,,,,,,,,,,,,,,,
140,"mechanical recycling, HDPE",0.10993,,,,,,,,,,,,,,,,,,,,,,,
141,"mechanical recycling, LDPE",0.09058,,,,,,,,,,,,,,,,,,,,,,,
142,"mechanical recycling, PET",0.147392,,,,,,,,,,,,,,,,,,,,,,,
143,"mechanical recycling, PP",0.10993,,,,,,,,,,,,,,,,,,,,,,,
144,"mechanical recycling, PS",0.10993,,,,,,,,,,,,,,,,,,,,,,,
145,"mechanical recycling, PVC",0.06363636364,,,,,,,,,,,,,,,,,,,,,,,
