0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135
propylene production (monomer) alternatives,propylene (monomer),FALSE,cd67b553-6f45-4a5d-9d52-3a54a186b173,FALSE,,Z: Plastic Packaging,A0: Monomer Production,,,,,,,,,,,,,,63.4,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.014,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTA production (monomer) alternatives,PTA (monomer),FALSE,9c35db37-a4fa-489a-859e-8fc770d38f1c,FALSE,,Z: Plastic Packaging,A0: Monomer Production,,,,,,,,,,,,,,,1,,,,,,,,,,,665,0.62914,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
styrene production (monomer) alternatives,styrene (monomer),FALSE,677c6cd3-c6f5-4d68-9cff-2519c04de282,FALSE,,Z: Plastic Packaging,A0: Monomer Production,,,,,,,,,,,,,,,,1,,,,,0.75,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vinyl chloride production (monomer) alternatives,vinyl chloride (monomer),FALSE,314f7265-ee36-4a5e-9b96-510afeefb5b9,FALSE,,Z: Plastic Packaging,A0: Monomer Production,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bituminous coal, at mine","Bituminous coal, at mine",FALSE,55b4aeab-0576-3a9b-b476-b561197ec3f2,FALSE,RNA,"21: Mining, Quarrying, and Oil and Gas Extraction",2121: Coal Mining,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carbon monoxide, at plant","Carbon monoxide, at plant",FALSE,0461a6e2-75a9-36af-8e1a-c9ad9dcdb99d,FALSE,RNA,31-33: Manufacturing,3251: Basic Chemical Manufacturing,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,-0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"mixed plastic packaging, sorted alternatives","mixed plastic waste, sorted",FALSE,5cb124d7-f65a-4a9c-b5ed-f55a165714d5,FALSE,,A5: EoL,Energy recovery,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0.7375106087,,,,,,,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,
PS sorted alternatives,"PS, sorted",FALSE,0773ff6c-c673-42ea-babc-870acda1378c,FALSE,,A5: EoL,Chemical recycling,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,0.04115345491,,,,,,,,,,,,,,,,,,,,,-1,,0.02445243905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chlorine, production mix, at plant","Sodium hydroxide, production mix, at plant",FALSE,bf2b1e5a-4c92-3974-a2fd-a68898833086,FALSE,US,31-33: Manufacturing,3251: Basic Chemical Manufacturing,,,,,,,,,,,,,-0.576,,-0.00145,,,,,,,0.52,,,,-9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03401,,,,,,,,,,,,,,,,,,,,,,-10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chlorine; chlor-alkali average, membrane cell; at plant","Chlorine; chlor-alkali average, membrane cell; at plant",FALSE,8db1425d-16fb-4003-98f5-1d12d5995feb,FALSE,RNA,31-33: Manufacturing,3251: Basic Chemical Manufacturing,,,,,,,,,,,,,,,,,-0.6,,,,,,1,,,,,,,,,,,,,,-0.6,,,,,,-1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Corn, whole plant, at field","Corn, at field",FALSE,8db31b1d-1a59-304c-801f-a3cd8a23ba45,FALSE,RNA,"11: Agriculture, Forestry, Fishing and Hunting",1111: Oilseed and Grain Farming,,,,,,,,,,-3.226,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Crude oil, extracted","Crude oil, extracted",FALSE,67d71d59-8951-30d6-a5c8-2ddbe3cc92de,FALSE,RNA,"21: Mining, Quarrying, and Oil and Gas Extraction",2111: Oil and Gas Extraction,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.22284,-0.42909,-0.02709,-0.05245,-0.0498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PET sorted alternatives,"PET, sorted",FALSE,43384f42-610d-4292-af22-01167168b9b4,FALSE,,A5: EoL,Chemical recycling,,,,,,,,,,,,,,,,,,,,,,,,,,-1490,-1,,,,,,,,,,,,,,,0.1824538375,,,,,,,,,,,,,,,,0.1084098856,,,-1,,,,0.1062416879,,,,,,,,,,,,,,,,,,-1299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Diesel, combusted in industrial equipment","Diesel, combusted in industrial equipment",FALSE,d815ff18-015c-3afb-be18-be03bdf325da,FALSE,RNA,22: Utilities,"2213: Water, Sewage and Other Systems",,,,,,,-3.30E-06,,,,,,,,,,,,,,,,,-6.90E-06,-1.30E-06,,,0.001,,,,,,,,,,,,,,-0.00001,,,,,,,,,,,,,,,,-0.00001,,,,,,,-0.00001,,,,,,,,,-3.30E-07,,-3.30E-07,,,,,,,,-2.50E-08,,,,,,,,,,,,,,,,-1.60E-08,,,,,-6.70E-08,-1.00E-05,,,-1.60E-06,,,,,,,,,,,,,,,,,,,
"Enzyme, Alpha-amylase, Novozyme Liquozyme","Enzyme, Alpha-amylase, Novozyme Liquozyme",FALSE,00b5c8b4-682d-3000-a2df-246e333f6344,FALSE,RER,31-33: Manufacturing,3251: Basic Chemical Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,-5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ethylene, materials production, organic compound, at plant, kg","Ethylene, at plant, kg",FALSE,ec1bf0d1-ff71-4960-aa0f-9fc87c14f972,FALSE,US,31-33: Manufacturing,3251: Basic Chemical Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.59,,,,,-0.288,-0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fossil-propylene production (monomer),"Disposal, solid waste, process, to sanitary landfill",FALSE,b35ecc2a-e40e-32bb-b5a0-5510499d96e2,FALSE,,Z: Plastic Packaging,A0: Monomer Production,,,,,,,,,,,,,,,,,,,-0.01718,,,,,,,,,,,,,,0.00029,,,,,,,,,,,-0.00245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fuel grade uranium, at regional storage","Fuel grade uranium, at regional storage",FALSE,64e4081e-3bbf-3576-ad3e-d760aa93c187,FALSE,RNA,31-33: Manufacturing,3251: Basic Chemical Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gasoline, combusted in equipment","Gasoline, combusted in equipment",FALSE,bc38e349-1ccf-3855-a615-a4f581ab875b,FALSE,RNA,22: Utilities,"2213: Water, Sewage and Other Systems",,,,,,,,,,,,,,,,,,-8.40E-07,,,,,,-1.90E-06,-6.80E-07,,,,,,,,,,,,,,0.001,,,,,,,,,,,,,,,,,-1.40E-06,-5.10E-08,,,,,,,,,,,,-3.40E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.80E-08,,,,,,,,,-8.70E-07,,,,,,,,,,,,,,,,,,,
glucose production from corn,glucose,FALSE,69a0fd9b-1311-4b3e-984f-eff5674984c8,FALSE,,Z: Plastic Packaging,Other,,,,,,,,,,,,,-0.45267,,,-3.84615,,,,,,,,,,,,,,,,,,,,,,,,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE production alternatives,HDPE (polymer),FALSE,1762d47d-7ef0-4948-916a-3d98670e500d,FALSE,,Z: Plastic Packaging,A1: Polymer Production,,,,,213.877362,21.3877362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-0.213877362,-0.213877362,-0.213877362,-0.213877362,,,,,0.88652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.213877362,,,,,,,,,,,,,,,,,,,,,,,,
plastic packaging waste alternatives,plastic packaging waste,FALSE,94e7a444-13ef-4192-bf69-58d845fccf73,FALSE,,Z: Plastic Packaging,A4: Sorting,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,-1,,-1,,,,,,,,,-1,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hydrochloric acid, HCl; MDI coproduct; at plant, 100% HCl","Hydrochloric acid, at plant, kg",FALSE,c3019f2c-8e84-4f0d-9529-093d2d0ae5e1,FALSE,RNA,31-33: Manufacturing,3251: Basic Chemical Manufacturing,,,,,,,,,,,,,-0.556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hydrochloric acid, without water, in 30% solution state, at plant","Hydrochloric acid, without water, in 30% solution state, at plant",FALSE,1a0678a7-09b1-339d-8f05-259a14f0ab84,FALSE,RNA,31-33: Manufacturing,3251: Basic Chemical Manufacturing,,,,,,,,,,,,,,,,,,,,,,,-0.0173,,,,,,,,,,,,,,,,,,,,,1,-0.0225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0172,,,,,,,,,,,,,,,,,,,,,
"Hydrogen, chlor-alkali average, membrane cell; at plant","Hydrogen, chlor-alkali average, membrane cell; at plant",FALSE,c8f87bf1-3603-4867-8d39-a5a0a3b90d0d,FALSE,RNA,31-33: Manufacturing,3251: Basic Chemical Manufacturing,,,,,,,,,,,,,,,,,-0.0015,,,,,,,,,,,,,,,,,,,,-0.0015,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hydrogen, liquid, synthesis gas, at plant","Hydrogen, liquid, synthesis gas, at plant",FALSE,3a8cda88-d05e-3a52-82ff-e7aa2caefd0d,FALSE,RNA,31-33: Manufacturing,3251: Basic Chemical Manufacturing,,,,,,,,,,,,,-0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0018,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plastic residues alternatives,plastic residues,FALSE,ae9e4d7e-374a-4ba7-b8f1-acd5310008f1,FALSE,,A5: EoL,Energy recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,0.05773,,,,,,-1,,-1,,,,,,,,0.1540795057,0.10993,0.09058,0.147392,0.10993,0.10993,0.07,0.1443109512,,,,,,,,,,,,,,,,,,321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"large, flexible, mono-layer plastic packaging production","large, flexible, mono-layer plastic packaging",FALSE,a09039e3-1a6c-4948-bad9-1edefde4c95b,FALSE,,Z: Plastic Packaging,A2: Plastic Packaging Production,,,-0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"large, flexible, multi-layer plastic packaging production","large, flexible, multi-layer plastic packaging",FALSE,3c8a91cd-e417-4b22-80e7-a4a27a2563e0,FALSE,,Z: Plastic Packaging,A2: Plastic Packaging Production,,,-0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"large, rigid, mono-layer plastic packaging production","large, rigid, mono-layer plastic packaging",FALSE,0b0a3464-8782-4ec4-9b55-919bf9e3fe9c,FALSE,,Z: Plastic Packaging,A2: Plastic Packaging Production,,,-0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"large, rigid, multi-layer plastic packaging production","large, rigid, multi-layer plastic packaging",FALSE,37c95147-2ecf-47aa-9755-1f44bf59b383,FALSE,,Z: Plastic Packaging,A2: Plastic Packaging Production,,,-0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LDPE production,LDPE (polymer),FALSE,d5a62927-c066-455c-ba8f-7526b6f4dc50,FALSE,,Z: Plastic Packaging,A1: Polymer Production,,,,,203.1855717,20.31855717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2031855717,-0.2031855717,-0.2031855717,-0.2031855717,1,,,,,0.905797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2031855717,,,,,,,,,,,,,,,,,,,,,,,,
"Lignite coal, at surface mine","Lignite coal, at surface mine",FALSE,90247271-0884-3a25-af40-be7abccb922c,FALSE,RNA,"21: Mining, Quarrying, and Oil and Gas Extraction",2121: Coal Mining,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Limestone, at mine","Limestone, at mine",FALSE,8fe57bef-7504-3270-8dbd-13c0df6ddaac,FALSE,RNA,"21: Mining, Quarrying, and Oil and Gas Extraction",2123: Nonmetallic Mineral Mining and Quarrying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.87,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE sorted alternatives,"HDPE, sorted",FALSE,2dff218d-5b43-4f6f-8e8f-0aaadd094147,FALSE,,A5: EoL,mechanical recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1763782441,,,,,,,,,,,,,,,,,-1,,,,,,0.1027039092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"mechanical recycling, LDPE sorted","LDPE, sorted",FALSE,19107eb0-e40d-4906-8832-0ac3af051431,FALSE,,A5: EoL,mechanical recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1675610454,,,,,,,,,,,,,,,,,,-1,,,,,0.09756971154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"mechanical recycling, PP sorted","PP, sorted",FALSE,40ca4afc-7b0b-4135-b4f2-60b07af0eca5,FALSE,,A5: EoL,mechanical recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2398757828,,,,,,,,,,,,,,,,,,,,-1,,,0.1396781148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"mechanical recycling, PVC sorted","PVC, sorted",FALSE,d5d4b71f-138a-42ef-afd0-b4095f47cc39,FALSE,,A5: EoL,mechanical recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01724763522,,,,,,,,,,,,,,,,,,,,,,-1100,0.01004318628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Methanol, at plant, kg","Methanol, at plant, kg",FALSE,ae69b712-d8d2-41ef-a2c1-fb477807f742,FALSE,RNA,31-33: Manufacturing,3251: Basic Chemical Manufacturing,,,,-0.539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Natural gas, at extraction, Barnett Shale, kg","Natural gas, at extraction, Barnett Shale, kg",FALSE,43ab3de2-e1a2-4e1a-9613-68e9cbd7aab5,FALSE,US,"21: Mining, Quarrying, and Oil and Gas Extraction",2111: Oil and Gas Extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,-0.274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Natural gas, at extraction, coal bed methane, kg","Natural gas, at extraction, coal bed methane, kg",FALSE,1d674722-7562-4360-8677-93bf36a9a57a,FALSE,US,"21: Mining, Quarrying, and Oil and Gas Extraction",2111: Oil and Gas Extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,-0.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Natural gas, at extraction, conventional offshore, kg","Natural gas, at extraction, conventional offshore, kg",FALSE,fdfa1dbf-3593-45ff-b0dc-6b3f9d8fa4bd,FALSE,US,"21: Mining, Quarrying, and Oil and Gas Extraction",2111: Oil and Gas Extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,-0.113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Natural gas, at extraction, conventional onshore associated, kg","Natural gas, at extraction, conventional onshore associated, kg",FALSE,4398eda3-a9ac-444b-bc90-0e042335fa2f,FALSE,US,"21: Mining, Quarrying, and Oil and Gas Extraction",2111: Oil and Gas Extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,-0.132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Natural gas, at extraction, conventional onshore, kg","Natural gas, at extraction, conventional onshore, kg",FALSE,f1deade7-12b4-45c8-a00f-946a33de6d2c,FALSE,US,"21: Mining, Quarrying, and Oil and Gas Extraction",2111: Oil and Gas Extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,-0.269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Natural gas, at extraction, Marcellus Shale, kg","Natural gas, at extraction, Marcellus Shale, kg",FALSE,c3550488-240f-4674-883a-ccf7dbf0ecf3,FALSE,US,"21: Mining, Quarrying, and Oil and Gas Extraction",2111: Oil and Gas Extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Natural gas, at extraction, production mixture, to consumer, kg","Natural gas, at extraction, composite, kg",FALSE,c1618370-1fc6-45fc-a2cc-2458bc9ddf6a,FALSE,US,"21: Mining, Quarrying, and Oil and Gas Extraction",2111: Oil and Gas Extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Natural gas, at processing, conventional, kg","Natural gas, at processing, conventional, kg",FALSE,7445d544-fd68-4cb8-9f75-00428a6b4c98,FALSE,US,"21: Mining, Quarrying, and Oil and Gas Extraction",2111: Oil and Gas Extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Natural gas, at processing, production mixture, to consumer, kg","Natural gas, at processing, composite, kg",FALSE,1a30ee75-215c-47ab-8927-8d15cdf63407,FALSE,US,"21: Mining, Quarrying, and Oil and Gas Extraction",2111: Oil and Gas Extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,-1.05,,-1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.62,,,,,,,,,1,,,-1,-1,,,,,,,,,,,,,,,0.0027,,,,,,,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Natural gas, at processing, shale, kg","Natural gas, at processing, shale, kg",FALSE,5fad297f-057e-468c-8ae1-bd4ef37514f3,FALSE,US,"21: Mining, Quarrying, and Oil and Gas Extraction",2111: Oil and Gas Extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.49,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Natural gas, combusted in industrial equipment","Natural gas, combusted in industrial equipment, 1.357 m3/kg, 52.13 MJ/kg",FALSE,9dfc02c2-db7e-3c19-b120-165cab1a22c5,FALSE,RNA,22: Utilities,"2213: Water, Sewage and Other Systems",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Natural gas, processed, for energy use, at plant","Natural gas, production mixture, to energy use",FALSE,1a34bf95-f897-4af9-b70c-368fce9e41d6,FALSE,,"21: Mining, Quarrying, and Oil and Gas Extraction",2111: Oil and Gas Extraction,,,,,,,-0.0221,,,,,,,,,,,,,,,,,,,,,,,,,,-0.16,-0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.73692,1,,,,,,,,,,,,,,,,,,,,,,-0.10382,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Natural gas, processed, for material use, at plant","Natural gas, production mixture, to material use",FALSE,c837f7c6-1f8d-4f62-ade8-4f2a73b41b1a,FALSE,,"21: Mining, Quarrying, and Oil and Gas Extraction",2111: Oil and Gas Extraction,,,,-0.325055269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.87,-0.87,,,,,,,,,,,,-2.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.69713,,,,,,,,,,,,,,,,,,,,-0.58424,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nitrogen fertilizer, production mix, at plant","Nitrogen fertilizer, production mix, at plant",FALSE,45f1fd00-2093-3e05-9b41-e942b9e8cec9,FALSE,RNA,31-33: Manufacturing,"3253: Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",,,,,,,,,,,,,,,,,,,,,,,,-0.0169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oxygen, liquid, at plant","Oxygen, liquid, at plant",FALSE,055e3f80-da33-3f27-be5f-8d0c59872b9a,FALSE,RNA,31-33: Manufacturing,3251: Basic Chemical Manufacturing,,,,,,,,,,,-0.463,,,,-0.096,,-0.0065,,,,,,,,,,,,,,-0.56,,,,,,-0.0065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Paraxylene, at plant, kg","Paraxylene, at plant, kg",FALSE,44067793-674b-441e-b898-369f32f99ba0,FALSE,RNA,31-33: Manufacturing,3251: Basic Chemical Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PET production,PET (polymer),FALSE,e55573ab-257e-4a66-af73-b23c4541f9a1,FALSE,,Z: Plastic Packaging,A1: Polymer Production,,,,,221.2446645,22.12446645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2212446645,-0.2212446645,-0.2212446645,-0.2212446645,,,,,,,0.85034,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,-0.2212446645,,,,,,,,,,,,,,,,,,,,,,,,
